date,industry,sales_amount
2022-01,Clothing & Accessories,86608.0
2022-01,Electronics & Appliances,56667.0
2022-01,Food & Beverage Stores,365771.0
2022-01,General Merchandise,385352.0
2022-01,Motor Vehicles & Parts,668628.0
2022-01,Nonstore Retail (E-commerce),373911.0
2022-01,Other Specialty Retail,443672.0
2022-02,Clothing & Accessories,91876.0
2022-02,Electronics & Appliances,56669.0
2022-02,Food & Beverage Stores,348972.0
2022-02,General Merchandise,382757.0
2022-02,Motor Vehicles & Parts,680132.0
2022-02,Nonstore Retail (E-commerce),361380.0
2022-02,Other Specialty Retail,441021.0
2022-03,Clothing & Accessories,107828.0
2022-03,Electronics & Appliances,63842.0
2022-03,Food & Beverage Stores,370262.0
2022-03,General Merchandise,406150.0
2022-03,Motor Vehicles & Parts,757922.0
2022-03,Nonstore Retail (E-commerce),383124.0
2022-03,Other Specialty Retail,501445.0
2022-04,Clothing & Accessories,107969.0
2022-04,Electronics & Appliances,62878.0
2022-04,Food & Beverage Stores,370857.0
2022-04,General Merchandise,419736.0
2022-04,Motor Vehicles & Parts,751832.0
2022-04,Nonstore Retail (E-commerce),379360.0
2022-04,Other Specialty Retail,503120.0
2022-05,Clothing & Accessories,109200.0
2022-05,Electronics & Appliances,61799.0
2022-05,Food & Beverage Stores,382173.0
2022-05,General Merchandise,431892.0
2022-05,Motor Vehicles & Parts,721888.0
2022-05,Nonstore Retail (E-commerce),388077.0
2022-05,Other Specialty Retail,522800.0
2022-06,Clothing & Accessories,105493.0
2022-06,Electronics & Appliances,60759.0
2022-06,Food & Beverage Stores,382188.0
2022-06,General Merchandise,431395.0
2022-06,Motor Vehicles & Parts,725156.0
2022-06,Nonstore Retail (E-commerce),379802.0
2022-06,Other Specialty Retail,525513.0
2022-07,Clothing & Accessories,105196.0
2022-07,Electronics & Appliances,60979.0
2022-07,Food & Beverage Stores,386487.0
2022-07,General Merchandise,429001.0
2022-07,Motor Vehicles & Parts,702042.0
2022-07,Nonstore Retail (E-commerce),383002.0
2022-07,Other Specialty Retail,511343.0
2022-08,Clothing & Accessories,108382.0
2022-08,Electronics & Appliances,62773.0
2022-08,Food & Beverage Stores,383472.0
2022-08,General Merchandise,433708.0
2022-08,Motor Vehicles & Parts,741408.0
2022-08,Nonstore Retail (E-commerce),392725.0
2022-08,Other Specialty Retail,510695.0
2022-09,Clothing & Accessories,103013.0
2022-09,Electronics & Appliances,61455.0
2022-09,Food & Beverage Stores,379364.0
2022-09,General Merchandise,423697.0
2022-09,Motor Vehicles & Parts,701826.0
2022-09,Nonstore Retail (E-commerce),383929.0
2022-09,Other Specialty Retail,492394.0
2022-10,Clothing & Accessories,106282.0
2022-10,Electronics & Appliances,60735.0
2022-10,Food & Beverage Stores,388474.0
2022-10,General Merchandise,437146.0
2022-10,Motor Vehicles & Parts,714012.0
2022-10,Nonstore Retail (E-commerce),395196.0
2022-10,Other Specialty Retail,500265.0
2022-11,Clothing & Accessories,114884.0
2022-11,Electronics & Appliances,62907.0
2022-11,Food & Beverage Stores,391596.0
2022-11,General Merchandise,447792.0
2022-11,Motor Vehicles & Parts,676500.0
2022-11,Nonstore Retail (E-commerce),420650.0
2022-11,Other Specialty Retail,485655.0
2022-12,Clothing & Accessories,136284.0
2022-12,Electronics & Appliances,66204.0
2022-12,Food & Beverage Stores,406847.0
