date,state,region,industry,yoy_pct
2022-01,AK,West,Clothing & Accessories,0.7
2022-01,AK,West,Electronics & Appliances,-5.3
2022-01,AK,West,Food & Beverage Stores,12.9
2022-01,AK,West,General Merchandise,14.5
2022-01,AK,West,Motor Vehicles & Parts,-8.6
2022-01,AK,West,Other Specialty Retail,7.366666666666667
2022-01,AL,South,Clothing & Accessories,-1.7
2022-01,AL,South,Electronics & Appliances,-7.0
2022-01,AL,South,Food & Beverage Stores,18.3
2022-01,AL,South,General Merchandise,-6.2
2022-01,AL,South,Motor Vehicles & Parts,15.1
2022-01,AL,South,Other Specialty Retail,10.34
2022-01,AR,South,Clothing & Accessories,11.3
2022-01,AR,South,Electronics & Appliances,-1.1
2022-01,AR,South,Food & Beverage Stores,5.4
2022-01,AR,South,General Merchandise,-6.2
2022-01,AR,South,Motor Vehicles & Parts,18.0
2022-01,AR,South,Other Specialty Retail,2.8333333333333326
2022-01,AZ,West,Clothing & Accessories,19.1
2022-01,AZ,West,Electronics & Appliances,5.4
2022-01,AZ,West,Food & Beverage Stores,8.0
2022-01,AZ,West,General Merchandise,19.6
2022-01,AZ,West,Motor Vehicles & Parts,12.3
2022-01,AZ,West,Other Specialty Retail,10.700000000000001
2022-01,CA,West,Clothing & Accessories,29.1
2022-01,CA,West,Electronics & Appliances,3.2
2022-01,CA,West,Food & Beverage Stores,3.3
2022-01,CA,West,General Merchandise,16.9
2022-01,CA,West,Motor Vehicles & Parts,13.8
2022-01,CA,West,Other Specialty Retail,9.683333333333334
2022-01,CO,West,Clothing & Accessories,16.5
2022-01,CO,West,Electronics & Appliances,3.9
2022-01,CO,West,Food & Beverage Stores,3.6
2022-01,CO,West,General Merchandise,16.1
2022-01,CO,West,Motor Vehicles & Parts,4.7
2022-01,CO,West,Other Specialty Retail,10.75
2022-01,CT,Northeast,Clothing & Accessories,14.1
2022-01,CT,Northeast,Electronics & Appliances,1.5
2022-01,CT,Northeast,Food & Beverage Stores,5.7
2022-01,CT,Northeast,General Merchandise,-8.2
2022-01,CT,Northeast,Motor Vehicles & Parts,8.6
2022-01,CT,Northeast,Other Specialty Retail,4.883333333333334
2022-01,DC,South,Clothing & Accessories,-2.7
2022-01,DC,South,Electronics & Appliances,24.8
2022-01,DC,South,Food & Beverage Stores,11.1
2022-01,DC,South,General Merchandise,7.4
2022-01,DC,South,Motor Vehicles & Parts,19.2
2022-01,DC,South,Other Specialty Retail,12.616666666666665
2022-01,DE,South,Clothing & Accessories,11.9
2022-01,DE,South,Electronics & Appliances,-2.7
2022-01,DE,South,Food & Beverage Stores,4.6
2022-01,DE,South,General Merchandise,-1.8
2022-01,DE,South,Motor Vehicles & Parts,1.5
2022-01,DE,South,Other Specialty Retail,15.059999999999999
2022-01,FL,South,Clothing & Accessories,16.9
2022-01,FL,South,Electronics & Appliances,7.5
2022-01,FL,South,Food & Beverage Stores,10.6
2022-01,FL,South,General Merchandise,15.1
2022-01,FL,South,Motor Vehicles & Parts,16.2
2022-01,FL,South,Other Specialty Retail,7.0
2022-01,GA,South,Clothing & Accessories,13.7
2022-01,GA,South,Electronics & Appliances,6.0
2022-01,GA,South,Food & Beverage Stores,9.7
2022-01,GA,South,General Merchandise,4.5
2022-01,GA,South,Motor Vehicles & Parts,13.7
2022-01,GA,South,Other Specialty Retail,8.783333333333333
2022-01,HI,West,Clothing & Accessories,10.5
2022-01,HI,West,Electronics & Appliances,6.4
2022-01,HI,West,Food & Beverage Stores,3.4
2022-01,HI,West,General Merchandise,2.1
2022-01,HI,West,Motor Vehicles & Parts,4.6
2022-01,HI,West,Other Specialty Retail,5.639999999999999
2022-01,IA,Midwest,Clothing & Accessories,20.9
2022-01,IA,Midwest,Electronics & Appliances,3.6
2022-01,IA,Midwest,Food & Beverage Stores,12.5
2022-01,IA,Midwest,General Merchandise,-2.2
2022-01,IA,Midwest,Motor Vehicles & Parts,10.8
2022-01,IA,Midwest,Other Specialty Retail,11.783333333333333
2022-01,ID,West,Clothing & Accessories,14.8
2022-01,ID,West,Electronics & Appliances,-5.8
2022-01,ID,West,Food & Beverage Stores,11.2
2022-01,ID,West,General Merchandise,23.1
2022-01,ID,West,Motor Vehicles & Parts,3.8
2022-01,ID,West,Other Specialty Retail,19.116666666666667
2022-01,IL,Midwest,Clothing & Accessories,11.0
2022-01,IL,Midwest,Electronics & Appliances,1.0
2022-01,IL,Midwest,Food & Beverage Stores,5.9
2022-01,IL,Midwest,General Merchandise,0.2
2022-01,IL,Midwest,Motor Vehicles & Parts,22.7
2022-01,IL,Midwest,Other Specialty Retail,13.416666666666666
2022-01,IN,Midwest,Clothing & Accessories,13.2
2022-01,IN,Midwest,Electronics & Appliances,3.1
2022-01,IN,Midwest,Food & Beverage Stores,5.8
2022-01,IN,Midwest,General Merchandise,4.4
